row_id,category,stage_slug,principle,approved_phrase_short,script_template_tokenized,tokens,notes_for_training
SSO-T001,Module 3,cover,Serve-first presentation mindset,"Serve the guest; the sale follows.",A sale is not something you pursue; it’s what happens while you are immersed in serving others.,N/A,Open the module with this mindset.
SSO-T002,Selection,transition,Agenda setting reduces anxiety,"Quick plan: questions → 2–3 options → you decide.","Here’s what we’ll do: a few quick questions, then we’ll narrow to {num_options} best-fit options, and you decide what you want to see first.",num_options,Use before walking to vehicles.
SSO-T003,Selection,transition,Confirm priorities to build trust,"Let me make sure I got this right…","Based on what you told me, your top priorities are {priority_1}, {priority_2}, and {priority_3}. Did I capture that right?",priority_1|priority_2|priority_3,Trust checkpoint before selection.
SSO-T004,Selection,presentation,Needs → feature → benefit,"Here’s why this matters for you…","Because you mentioned {need}, this feature {feature} helps by {benefit}.",need|feature|benefit,Core presentation template.
SSO-T005,Selection,presentation,Invite feedback (keep guest in control),"How does that feel to you?","How does that feel for your day-to-day—does that solve {concern_or_need}?",concern_or_need,Ask after every key feature.
SSO-T006,Selection,primary,Primary selection positioning,"This is the best match for what you told me.","This option matches what you said matters most—{top_need_1} and {top_need_2}—so let’s start here.",top_need_1|top_need_2,Set confident direction without pressure.
SSO-T007,Selection,alternate,Alternate presented positively,"I have another option you may like even more.","I have another option I think you might really like—especially since you mentioned {need}.",need,Alternate is not a fallback.
SSO-T008,Selection,alternate,Alternate benefits framing,"Same needs + extra advantage.","This one still covers {core_need} and adds {extra_benefit}, which might make it an even better fit.",core_need|extra_benefit,Keep momentum moving forward.
SSO-T009,Selection,scarcity,Scarcity without pressure,"If you like it, it’s a rare combo.","Just so you know, this {trim_color_package} combo is limited—if it fits, we can secure it while you decide.",trim_color_package,Use gently; never threaten.
SSO-T010,Selection,social_proof,Social proof aligned to identity,"People like you choose this one.","This is a popular choice for {customer_type} because it delivers {benefit_1} and {benefit_2}.",customer_type|benefit_1|benefit_2,Make it identity-relevant.

SSO-T020,Objections,framework,Acknowledge then clarify,"That’s a fair concern—can I ask a quick question?","I hear you—{objection}. Can I ask: is it more about {option_a} or {option_b}?",objection|option_a|option_b,Isolation starts here.
SSO-T021,Objections,framework,Isolate the true barrier,"If we solved X, are we good?","If we can solve {barrier}, would you feel comfortable moving forward?",barrier,Classic isolation close.
SSO-T022,Objections,framework,Feel-Felt-Found template,"I understand. Many felt that way. Here’s what they found…","I understand how you feel. Many guests felt the same way about {topic} at first, but they found {reframe_value}.",topic|reframe_value,Keep it natural; don’t over-script.
SSO-T023,Objections,price,One-price clarity + redirect to needs,"One clear price—so you can shop with confidence.","We keep it simple with one clear price. Before I point you to the best option, what matters most in the vehicle?",N/A,Use when guest goes straight to price.
SSO-T024,Objections,concern,Validate then reassure,"That makes sense—budget matters.","I understand—staying within budget matters. Let’s look at {solution_path} so it feels comfortable.",solution_path,Examples: term, down, payment target, model alt.
SSO-T025,Objections,question,Answer + link to need,"Here’s the answer—and why it helps you.","Great question. The answer is {answer}. Since you mentioned {need}, that helps because {benefit}.",answer|need|benefit,Keep answers concise.

SSO-T030,Turn,setup,Turn as added value,"I’m bringing in a specialist so you get the best answer.","To make sure all your questions are answered clearly, I’m going to bring in {expert_role}—they’re great at {expertise_area}.",expert_role|expertise_area,Frame as service, not escalation.
SSO-T031,Turn,setup,Reassure you remain involved,"I’ll stay with you.","I’ll stay with you—this just adds another set of eyes to make sure we get this right.",N/A,Protects trust and continuity.
SSO-T032,Turn,execute,Seamless introduction with context,"No need to repeat yourself.","{team_member_name}, this is {guest_name}. They’re focused on {top_need} and had a question about {topic}.",team_member_name|guest_name|top_need|topic,Best practice: guest doesn’t repeat story.
SSO-T033,Turn,receive,Receiving the turn rapport line,"I’m here to help, and I’m up to speed.","Hi {guest_name}, I’m {name}. {salesperson_name} filled me in on what matters most to you, and I’m here to help with {topic}.",guest_name|name|salesperson_name|topic,Build comfort fast.
SSO-T034,Turn,stall,If stuck—turn before frustration,"Let’s add support to keep this easy.","It feels like we’re close but something’s holding it up—let me bring in {role} so we can make this simple.",role,Turn early, not late.
SSO-T035,Turn,exit,Customer wants to leave (keep door open),"No pressure—here’s the easiest next step.","I completely respect that. If you’d like, I can text/email you the top {num_options} options we discussed so you can review at your pace.",num_options,Leave on a positive note.

SSO-T040,Presentation,customize,Safety-focused hook,"Peace of mind for you and your family.","Since safety is a top priority, this {feature} is designed to {benefit}—so you feel confident every time you drive.",feature|benefit,Use benefit language.
SSO-T041,Presentation,customize,Tech-focused hook,"Easy, modern, connected.","If you like tech, you’ll love how {feature} makes {use_case} simple—want to try it?",feature|use_case,Demo then hand control to guest.
SSO-T042,Presentation,customize,Performance-focused hook,"Capability that matches your lifestyle.","For what you described—{use_case}—this {feature} gives you {benefit} without extra hassle.",use_case|feature|benefit,Keep it practical.

SSO-T050,Closing,momentum,Two-to-three options rule,"Let’s keep this simple.","To keep this simple, I’m going to show you {num_options} best fits, and you tell me which one feels right.",num_options,Reduces overwhelm and increases confidence.
SSO-T051,Closing,confidence,Decision reassurance,"You’re making a smart, informed choice.","Based on your priorities—{priority_1}, {priority_2}, {priority_3}—this checks the boxes. How close does this feel to ‘perfect’?",priority_1|priority_2|priority_3,Invites final alignment conversation.
